trial_number,goal_rate_last20pct,duration_seconds,learning_rate,batch_size,buffer_size,gamma,target_network_frequency,exploration_fraction,learning_starts,train_frequency,hidden_size
41,0.0761904761904762,617.862485,0.0017105470955408545,128,5000,0.9152850919336514,788,0.6421030562970732,2000,1,256
46,0.07211538461538461,639.896843,0.005989487731044304,128,5000,0.9255986672871614,944,0.4751263988585693,2000,1,256
36,0.06666666666666667,626.226378,0.0006319250869133292,128,5000,0.9305157269302128,924,0.7981157930967039,2000,1,256
39,0.06666666666666667,623.796123,0.001821525666016735,128,5000,0.9251400861346417,804,0.6456109068724302,2000,1,256
43,0.06280193236714976,628.98331,0.0018396463323627015,128,5000,0.9287648733896912,811,0.576005174987769,2000,1,256
44,0.06280193236714976,641.276661,0.007572040281155934,128,5000,0.9181897678871149,793,0.5759535089101995,2000,1,256
47,0.057692307692307696,483.681754,0.0015977013782407846,64,5000,0.9268465646973457,949,0.4872627581995093,500,1,256
30,0.05741626794258373,608.805444,0.00017974069277574813,128,5000,0.9120364249648101,804,0.7243000781372049,2000,1,256
42,0.05741626794258373,629.531643,0.0018612807440476803,128,5000,0.9293268382381059,825,0.6361718267952026,2000,1,256
25,0.05339805825242718,392.057901,7.708686955094033e-05,32,50000,0.9438501180951463,858,0.8988947666808875,5000,1,256
31,0.052884615384615384,613.824081,0.00016206730328873137,128,5000,0.9159175988437044,775,0.7006796534361726,2000,1,256
48,0.04807692307692308,391.11618,0.003253333628395355,128,5000,0.9236476218240002,890,0.44178537203757745,2000,1,128
19,0.043689320388349516,223.036679,3.81653169842254e-05,32,50000,0.9981364424182164,617,0.7847836156525372,5000,1,64
32,0.043689320388349516,610.620453,0.00015289544300730665,128,5000,0.9114234805138127,811,0.7020468205413002,2000,1,256
22,0.043478260869565216,225.731408,6.432019246866078e-05,32,50000,0.9566675238058535,752,0.8895863341010906,5000,1,64
29,0.0430622009569378,399.359573,9.780463112228249e-05,32,50000,0.9602419335268668,707,0.8964520708613003,5000,1,256
15,0.03864734299516908,144.062631,0.00023140843045087775,32,50000,0.9516520333161608,257,0.5455883460885799,5000,2,64
37,0.0380952380952381,630.955646,0.001073478302956868,128,5000,0.9317536816141921,911,0.8517330081775913,2000,1,256
28,0.03398058252427184,444.457657,4.747615746908105e-05,64,50000,0.9846956189553161,869,0.7665957510662981,5000,1,256
33,0.03365384615384615,649.196727,0.00028489969727073624,128,5000,0.9105025022733376,537,0.6390958435539372,2000,1,256
0,0.028846153846153848,150.343803,0.0001329291894316216,32,50000,0.9700991852018085,69,0.8819459112971966,500,2,64
18,0.024390243902439025,109.371854,0.0001901253376247502,32,50000,0.9828884976578323,349,0.40227676711926785,1000,4,64
7,0.024271844660194174,281.180013,0.0007887102624766477,256,100000,0.9670788718223859,65,0.6072558349795687,5000,2,128
8,0.024271844660194174,91.60797,5.940525755701928e-05,64,100000,0.9626770442700535,372,0.5095257447675965,1000,8,64
23,0.024271844660194174,222.336174,4.319230699866134e-05,32,50000,0.9535940939169592,833,0.673402215618162,5000,1,64
1,0.023923444976076555,113.575236,0.00012562773503807024,64,50000,0.9064401077055427,952,0.8793792198447357,500,4,64
35,0.023923444976076555,191.896093,0.0001670245129732121,128,5000,0.9015146038483325,669,0.7089985118358311,2000,4,256
2,0.019704433497536946,532.388384,8.612579192594876e-05,256,10000,0.9912655492672886,134,0.4175897174514871,2000,1,128
16,0.01951219512195122,144.784533,0.0002627636189170315,32,50000,0.9479674904569849,508,0.324016552736588,5000,2,64
4,0.019417475728155338,116.668322,0.0019158219548093154,64,5000,0.9630046307151142,348,0.6051424146988217,500,4,64
12,0.019417475728155338,170.571037,0.0004112838623156851,128,50000,0.9782927440239066,260,0.5935616525753881,5000,2,64
45,0.019417475728155338,137.696889,0.009435916280478917,128,5000,0.9371040127166528,704,0.5807571947062049,2000,8,256
5,0.01932367149758454,132.910892,0.004115113049561088,128,10000,0.9225655810916522,456,0.7908088595534959,500,8,256
20,0.01932367149758454,273.82748,1.2967274685542156e-05,128,10000,0.9031879622973086,721,0.7461464854535333,5000,1,64
21,0.01932367149758454,220.80457,2.916515131382533e-05,32,50000,0.9976161761189076,975,0.8244621387577393,5000,1,64
24,0.01932367149758454,223.469114,2.405645956084577e-05,32,5000,0.9164967723823847,644,0.7831617676089743,5000,1,64
26,0.019230769230769232,397.300846,7.323874533194896e-05,32,50000,0.9414870656670596,866,0.8354350992382028,5000,1,256
13,0.019138755980861243,169.078014,0.00042157097899852555,32,100000,0.9537327680511529,231,0.7342579649239446,1000,2,128
11,0.014634146341463415,164.42922,0.0004520071476614975,32,100000,0.9733653327728485,77,0.676038197063709,5000,2,128
14,0.014634146341463415,458.75667,2.4995148711818525e-05,256,100000,0.97673799466679,77,0.8847776794679794,2000,2,256
27,0.014634146341463415,363.343769,1.9262274577282453e-05,32,50000,0.926434629240494,612,0.849506782718309,5000,1,256
9,0.014563106796116505,124.261339,0.0009783749110062348,256,50000,0.9322145701177675,759,0.6897797394283288,500,8,128
49,0.014563106796116505,258.968791,0.0054853321962784925,256,5000,0.934128176095812,949,0.5529009792140941,2000,4,256
17,0.00980392156862745,146.115746,4.3636509797275324e-05,32,50000,0.9372453522678386,262,0.5281096358316664,2000,2,64
40,0.00980392156862745,132.693983,0.003076947249068634,128,10000,0.9229332862930678,906,0.6489809755403594,2000,8,256
3,0.00966183574879227,174.520458,0.009133995846860976,256,50000,0.935488107125883,160,0.8178620555253562,500,8,256
38,0.00966183574879227,201.304173,0.0006478391197238735,128,5000,0.9427937097610128,987,0.8076829445555552,2000,4,256
6,0.009615384615384616,292.230888,0.00012327891605450807,32,100000,0.9497652232996573,98,0.46718787854196686,500,1,128
10,0.0049261083743842365,144.824778,1.281865593059487e-05,32,5000,0.9922967438492669,609,0.3232351199767098,5000,2,64
34,0.004807692307692308,615.52275,0.00010898416980385984,128,5000,0.9208185140130444,925,0.736030013383858,2000,1,256
